id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1673,0,127.0.0.1,00:00:00:00:00:00,00:00:00,53809,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777594440,1787777599445,5005,4,388,1787777594440,1787777599445,5005,4,388,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1674,0,172.18.0.5,b4:8c:9d:5b:7f:35,b4:8c:9d,55738,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787777618224,1787778232624,614400,52,3432,1787777618224,1787778232624,614400,26,1716,1787777618224,1787778232624,614400,26,1716,MongoDB,Database,1,1,,,,,
1675,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,57034,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777038894,1787777038894,0,1,74,1787777038894,1787777038894,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1676,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,49573,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777686005,1787777686010,5,10,857,1787777686005,1787777686009,4,5,476,1787777686006,1787777686010,4,5,381,Zabbix,Network,0,6,,,,,
1677,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,57255,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777894726,1787777894726,0,1,74,1787777894726,1787777894726,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1678,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,60359,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777596006,1787777596010,4,10,857,1787777596006,1787777596009,3,5,476,1787777596007,1787777596010,3,5,381,Zabbix,Network,0,6,,,,,
1679,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,56927,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777621005,1787777621017,12,10,857,1787777621005,1787777621016,11,5,476,1787777621006,1787777621017,11,5,381,Zabbix,Network,0,6,,,,,
1680,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,35341,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777038894,1787777038894,0,1,74,1787777038894,1787777038894,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1681,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,38914,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787777694547,1787777701744,7197,7,522,1787777694547,1787777701744,7197,7,522,0,0,0,0,0,DNS,Network,1,1,,,,,
1682,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,44564,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777894729,1787777899731,5002,2,172,1787777894729,1787777899731,5002,2,172,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
